id,name,phone,domain,address
1,Oyoba,330-214-1100,Health Care,1920 Shelley Trail
2,Yotz,594-402-5164,Public Utilities,883 Express Drive
3,Buzzster,873-125-4617,n/a,808 Susan Alley
4,Einti,208-162-1172,Finance,29 Hazelcrest Point
5,Tazz,668-287-9938,Health Care,1439 Hooker Circle
6,Photolist,377-718-6589,n/a,3088 Laurel Center
7,Brainverse,720-141-3180,Capital Goods,06 Bluejay Way
8,Skiptube,855-733-6158,Finance,570 Stang Drive
9,Flashdog,100-146-1005,Finance,435 Donald Road
10,Zoomzone,831-407-2212,n/a,1 Mandrake Avenue
11,Youtags,624-297-9532,Health Care,13 Brickson Park Lane
12,Topicshots,849-342-5485,Health Care,10492 Quincy Drive
13,Leenti,714-703-7108,Health Care,0640 Manley Junction
14,Skibox,920-586-1910,Consumer Services,4 Vahlen Court
15,Eire,539-948-3567,Energy,58377 Emmet Point
16,Podcat,184-955-7236,Technology,7347 Heffernan Pass
17,Babbleset,145-580-3855,Technology,147 Bunting Drive
18,Lazzy,406-343-5289,Consumer Non-Durables,6072 American Ash Hill
19,Edgeclub,634-340-4905,Energy,22593 Hollow Ridge Way
20,Jamia,714-669-5131,Public Utilities,053 Hoepker Hill
21,Muxo,643-825-1301,Consumer Services,16245 Darwin Court
22,Realfire,102-266-9178,Energy,38 Talisman Avenue
23,Eadel,757-780-4296,Health Care,7088 Larry Crossing
24,Jabberstorm,237-507-6805,Technology,39 Emmet Lane
25,Edgetag,163-697-7836,Finance,0150 Sloan Junction
26,Twiyo,778-390-1731,Energy,53535 Talisman Terrace
27,Kayveo,502-822-7124,n/a,856 Luster Center
28,Tagfeed,894-142-1220,Basic Industries,8 Briar Crest Road
29,Thoughtbeat,111-939-9622,n/a,0176 Scofield Lane
30,Avamba,730-928-4899,Transportation,42 Erie Pass
31,Lajo,844-598-0536,n/a,07799 Pawling Place
32,Mudo,283-472-2931,Capital Goods,9817 Hoepker Junction
33,Tazzy,502-920-4693,Energy,27 Old Shore Center
34,Brightdog,208-421-3540,Consumer Services,1328 Lakewood Gardens Pass
35,Wikizz,971-835-4312,Technology,2870 Ohio Lane
36,Brightbean,128-649-4916,n/a,22662 Arrowood Crossing
37,Meejo,631-483-1436,Finance,6022 Waxwing Parkway
38,Zoozzy,250-166-6140,Energy,323 Luster Terrace
39,Brainverse,335-738-4401,Energy,7 Tony Drive
40,Meejo,184-514-1189,Finance,2 Holmberg Place
41,InnoZ,287-795-5111,Basic Industries,14 Brentwood Center
42,Agivu,315-533-8254,Consumer Services,07 Heffernan Junction
43,Quimm,272-570-2771,Health Care,9831 Canary Court
44,Tazzy,609-363-1623,Consumer Services,0866 Raven Lane
45,Meezzy,281-875-2795,Consumer Services,11 Drewry Terrace
46,Miboo,751-545-1673,Public Utilities,6833 Valley Edge Center
47,Katz,229-371-6455,Health Care,9 Nelson Drive
48,Jaxnation,393-747-7078,n/a,68030 Spohn Terrace
49,Photobug,554-676-7020,Consumer Non-Durables,2 Luster Center
50,Vinder,986-227-2974,Finance,11 Clove Place
51,Ailane,248-637-7088,Consumer Services,5621 Schlimgen Parkway
52,Buzzbean,813-116-3412,Public Utilities,598 Gateway Trail
53,Avamba,191-627-2627,Consumer Services,63 Golf Course Place
54,Yodoo,212-325-7281,Basic Industries,07436 Bonner Park
55,Skilith,278-931-2323,Technology,4280 Drewry Center
56,Skajo,846-446-1210,n/a,0 Hallows Junction
