student_id,subject_id,grade
822491,4ARCH,33.0
822491,4CCNA,65.0
822491,4DATA,74.0
822491,4DOKR,72.0
822491,4GDPR,62.0
822491,4KUBE,74.0
822491,4PENE,76.0
822491,4VIRT,77.0
822491,4CHGM,53.0
822491,4DVOP,61.0
822491,4MLSP,73.0
337746,4ARCH,49.0
337746,4CCNA,62.0
337746,4DATA,48.0
337746,4DOKR,54.0
337746,4GDPR,49.0
337746,4KUBE,74.0
337746,4PENE,57.0
337746,4VIRT,64.0
337746,4CHGM,41.0
337746,4DVOP,53.0
337746,4MLSP,54.0
758587,4ARCH,77.0
758587,4CCNA,48.0
758587,4DATA,57.0
758587,4DOKR,40.0
758587,4GDPR,51.0
758587,4KUBE,6.0
758587,4PENE,80.0
758587,4VIRT,65.0
758587,4CHGM,56.0
758587,4DVOP,73.0
758587,4MLSP,42.0
600154,4ARCH,70.0
600154,4CCNA,61.0
600154,4DATA,74.0
600154,4DOKR,59.0
600154,4GDPR,48.0
600154,4KUBE,64.0
600154,4PENE,42.0
600154,4VIRT,57.0
600154,4CHGM,79.0
600154,4DVOP,58.0
600154,4MLSP,38.0
307620,4ARCH,85.0
307620,4CCNA,70.0
307620,4DATA,70.0
307620,4DOKR,48.0
307620,4GDPR,55.0
307620,4KUBE,57.0
307620,4PENE,74.0
307620,4VIRT,53.0
307620,4CHGM,56.0
307620,4DVOP,51.0
307620,4MLSP,54.0
795075,4ARCH,75.0
795075,4CCNA,75.0
795075,4DATA,50.0
795075,4DOKR,49.0
795075,4GDPR,61.0
795075,4KUBE,70.0
795075,4PENE,57.0
795075,4VIRT,21.0
795075,4CHGM,66.0
795075,4DVOP,27.0
795075,4MLSP,66.0
857164,4ARCH,33.0
857164,4CCNA,74.0
857164,4DATA,60.0
857164,4DOKR,54.0
857164,4GDPR,60.0
857164,4KUBE,43.0
857164,4PENE,66.0
857164,4VIRT,64.0
857164,4CHGM,59.0
857164,4DVOP,52.0
857164,4MLSP,63.0
437334,4ARCH,74.0
437334,4CCNA,58.0
437334,4DATA,63.0
437334,4DOKR,57.0
437334,4GDPR,47.0
437334,4KUBE,76.0
437334,4PENE,68.0
437334,4VIRT,61.0
437334,4CHGM,60.0
437334,4DVOP,48.0
437334,4MLSP,66.0
276330,4ARCH,75.0
276330,4CCNA,68.0
276330,4DATA,42.0
276330,4DOKR,32.0
276330,4GDPR,56.0
276330,4KUBE,56.0
276330,4PENE,46.0
276330,4VIRT,33.0
276330,4CHGM,77.0
276330,4DVOP,50.0
276330,4MLSP,61.0
311116,4ARCH,52.0
311116,4CCNA,76.0
311116,4DATA,79.0
311116,4DOKR,75.0
311116,4GDPR,47.0
311116,4KUBE,74.0
311116,4PENE,57.0
311116,4VIRT,31.0
311116,4CHGM,53.0
311116,4DVOP,64.0
311116,4MLSP,52.0
478473,4ARCH,72.0
478473,4CCNA,63.0
478473,4DATA,37.0
478473,4DOKR,58.0
478473,4GDPR,32.0
478473,4KUBE,52.0
478473,4PENE,62.0
478473,4VIRT,69.0
478473,4CHGM,64.0
478473,4DVOP,61.0
478473,4MLSP,76.0
726366,4ARCH,80.0
726366,4CCNA,64.0
726366,4DATA,41.0
726366,4DOKR,47.0
726366,4GDPR,55.0
726366,4KUBE,33.0
726366,4PENE,52.0
726366,4VIRT,62.0
726366,4CHGM,46.0
726366,4DVOP,67.0
726366,4MLSP,59.0
863658,4ARCH,67.0
863658,4CCNA,80.0
863658,4DATA,73.0
863658,4DOKR,73.0
863658,4GDPR,96.0
863658,4KUBE,83.0
863658,4PENE,49.0
863658,4VIRT,44.0
863658,4CHGM,65.0
863658,4DVOP,47.0
863658,4MLSP,48.0
692757,4ARCH,54.0
692757,4CCNA,61.0
692757,4DATA,82.0
692757,4DOKR,42.0
692757,4GDPR,62.0
692757,4KUBE,71.0
692757,4PENE,46.0
692757,4VIRT,66.0
692757,4CHGM,67.0
692757,4DVOP,80.0
692757,4MLSP,50.0
159682,4ARCH,65.0
159682,4CCNA,49.0
159682,4DATA,45.0
159682,4DOKR,58.0
159682,4GDPR,54.0
159682,4KUBE,73.0
159682,4PENE,59.0
159682,4VIRT,76.0
159682,4CHGM,39.0
159682,4DVOP,65.0
159682,4MLSP,43.0
168994,4ARCH,52.0
168994,4CCNA,64.0
168994,4DATA,46.0
168994,4DOKR,38.0
168994,4GDPR,44.0
168994,4KUBE,62.0
168994,4PENE,45.0
168994,4VIRT,60.0
168994,4CHGM,80.0
168994,4DVOP,48.0
168994,4MLSP,56.0
749613,4ARCH,44.0
749613,4CCNA,53.0
749613,4DATA,54.0
749613,4DOKR,50.0
749613,4GDPR,53.0
749613,4KUBE,83.0
749613,4PENE,62.0
749613,4VIRT,77.0
749613,4CHGM,66.0
749613,4DVOP,70.0
749613,4MLSP,95.0
192631,4ARCH,57.0
